JobTitle,CompanyName,Date,CompanyLocations,Skills,Links
Front End Developer - Intern,Dottopia -,5 days ago,"Agouza, Giza, Egypt ",Manager,/jobs/p/a1qWiKPpWqxg-Front-End-Developer---Intern-Dottopia-Giza-Egypt?o=32&l=sp&t=sj&a=python |search-v3|hpb
Senior Backend Engineer,LxT -,7 days ago,"Mohandessin, Giza, Egypt ", · IT/Software Development,/jobs/p/mHG1xO6JFYW7-Senior-Backend-Engineer-LxT-Giza-Egypt?o=33&l=sp&t=sj&a=python |search-v3|hpb
Senior Devops Engineer,Expleo -,6 days ago,"Maadi, Cairo, Egypt ", · Engineering - Telecom/Technology,/jobs/p/FMu0khwAsMiI-Senior-Devops-Engineer-Expleo-Cairo-Egypt?o=34&l=sp&t=sj&a=python |search-v3|hpb
Senior Big Data Engineers,BBI-Consultancy -,3 days ago,"Abu Dhabi, United Arab Emirates ",Front End Developer - Intern,/jobs/p/5EBOFMSD1Bii-Senior-Big-Data-Engineers-BBI-Consultancy-Abu-Dhabi-United-Arab-Emirates?o=35&l=sp&t=sj&a=python |search-v3|hpb
Software Engineer,Aseel -,3 days ago,"Cairo, Egypt ",Entry Level,/jobs/p/MLaP8mqcf3Sb-Software-Engineer-Aseel-Cairo-Egypt?o=36&l=sp&t=sj&a=python |search-v3|hpb
Full Stack Technical Lead,RDI -,9 days ago,"Dokki, Giza, Egypt ", · IT/Software Development,/jobs/p/ln6Clohx8m14-Full-Stack-Technical-Lead-RDI-Giza-Egypt?o=37&l=sp&t=sj&a=python |search-v3|hpb
NLP Engineer,Tahaluf Al Emarat Technical Solutions -,9 days ago,"Cairo, Egypt ", · Engineering - Telecom/Technology,/jobs/p/EfZo2CfXaON8-NLP-Engineer-Tahaluf-Al-Emarat-Technical-Solutions-Cairo-Egypt?o=38&l=sp&t=sj&a=python |search-v3|hpb
Algorithm Engineer,Tahaluf Al Emarat Technical Solutions -,10 days ago,"Cairo, Egypt ",Senior Backend Engineer,/jobs/p/DjexrRYn6C0W-Algorithm-Engineer-Tahaluf-Al-Emarat-Technical-Solutions-Cairo-Egypt?o=39&l=sp&t=sj&a=python |search-v3|hpb
Data Scientist,Fixed Solutions -,11 days ago,"Sheraton, Cairo, Egypt ",Experienced,/jobs/p/rkQ7JHkEd4ke-Data-Scientist-Fixed-Solutions-Cairo-Egypt?o=40&l=sp&t=sj&a=python |search-v3|hpb
Senior Devops Engineer,Trufla -,11 days ago,"Heliopolis, Cairo, Egypt ", · IT/Software Development,/jobs/p/biaLPnEUTxtW-Senior-Devops-Engineer-Trufla-Cairo-Egypt?o=41&l=sp&t=sj&a=python |search-v3|hpb
Desktop Applications Junior Developer,SIMS OFFSHORE -,11 days ago,"6th of October, Giza, Egypt ", · Engineering - Telecom/Technology,/jobs/p/PPdbWSpBD8po-Desktop-Applications-Junior-Developer-SIMS-OFFSHORE-Giza-Egypt?o=42&l=sp&t=sj&a=python |search-v3|hpb
NodeJS Backend Developer,Genwin -,12 days ago,"Obour City, Cairo, Egypt ",Senior Devops Engineer,/jobs/p/H7vpe4dKj9JS-NodeJS-Backend-Developer-Genwin-Cairo-Egypt?o=43&l=sp&t=sj&a=python |search-v3|hpb
Senior Data Scientist (m/f/d) - Remote Friendly,Sellics -,11 days ago,"Berlin, Germany ",Experienced,/jobs/p/nQ3y4OZh8bfl-Senior-Data-Scientist-mfd---Remote-Friendly-Sellics-Berlin-Germany?o=44&l=sp&t=sj&a=python |search-v3|hpb
Junior Backend Engineer,LxT -,12 days ago,"Mohandessin, Giza, Egypt ", · IT/Software Development,/jobs/p/G7dIVlXGgyzB-Junior-Backend-Engineer-LxT-Giza-Egypt?o=45&l=sp&t=sj&a=python |search-v3|hpb
Cloud Solution Engineer - R&D,Link Datacenter -,4 days ago,"Giza, Egypt ",Cloud Solution Engineer - R&D,/jobs/p/idPsvxpDPaB2-Cloud-Solution-Engineer---RD-Link-Datacenter-Giza-Egypt?o=46&l=sp&t=sj&a=python |search-v3|hpb
Devops Engineer,Beyond Solution -,4 days ago,"Maadi, Cairo, Egypt ",Experienced,/jobs/p/TK74Y0tMZizR-Devops-Engineer-Beyond-Solution-Cairo-Egypt?o=47&l=sp&t=sj&a=python |search-v3|hpb
Data Scientist,Maxab -,6 days ago,"Maadi, Cairo, Egypt ", · IT/Software Development,/jobs/p/fRC3zWgXtqMp-Data-Scientist-Maxab-Cairo-Egypt?o=48&l=sp&t=sj&a=python |search-v3|hpb
IT System Administrator,Sykes Enterprises -,12 days ago,"Cairo, Egypt ", · Engineering - Telecom/Technology,/jobs/p/L77WvHUyZR5s-IT-System-Administrator-Sykes-Enterprises-Cairo-Egypt?o=49&l=sp&t=sj&a=python |search-v3|hpb
Senior Linux System Engineer,Link Datacenter -,12 days ago,"Dokki, Giza, Egypt ",Devops Engineer,/jobs/p/jbhB7hgCFxI6-Senior-Linux-System-Engineer-Link-Datacenter-Giza-Egypt?o=50&l=sp&t=sj&a=python |search-v3|hpb
Ruby on Rails Developer (Back End),Tays -,12 days ago,"New Cairo, Cairo, Egypt ",Entry Level,/jobs/p/i31ICMCBI5yU-Ruby-on-Rails-Developer-Back-End-Tays-Cairo-Egypt?o=51&l=sp&t=sj&a=python |search-v3|hpb
chat-bot Developer - India,Hakaya -,17 days ago,"New Delhi, India ", · IT/Software Development,/jobs/p/ks5MVpVZAr5D-chat-bot-Developer---India-Hakaya-New-Delhi-India?o=52&l=sp&t=sj&a=python |search-v3|hpb
Data Scientist,Paymob Solutions -,13 days ago,"Maadi, Cairo, Egypt ", · Engineering - Telecom/Technology,/jobs/p/0jGn5OM1ogU7-Data-Scientist-Paymob-Solutions-Cairo-Egypt?o=53&l=sp&t=sj&a=python |search-v3|hpb
"Full Stack Developer (Vue Js, Python / Java)",SSC Egypt -,2 months ago,"Cairo, Egypt ",Data Scientist,/jobs/p/n7pYT0JpWUru-Full-Stack-Developer-Vue-Js-Python-Java-SSC-Egypt-Cairo-Egypt?o=54&l=sp&t=sj&a=python |search-v3|hpb
